%time,field.data
1569683677401634528,2.311551528
1569683677401781452,2.372415323
1569683677401798882,5.064550047
1569683677401989639,5.129609311
1569683677401996775,4.566867998
1569683677402214284,4.539227601
1569683677402227637,3.39845741
1569683677402384601,3.367204888
1569683677402391146,2.250981427
1569683677402553945,2.251442253
1569683677402559560,1.351698386
1569683677402717422,1.390567902
1569683677402729634,0.978978851
1569683677402872460,0.963097105
1569683677402880212,-3.143669636
1569683677403057445,-3.367848716
1569683677403063951,-5.781090642
1569683677403197640,-5.794927704
1569683677403204015,-5.095767419
1569683677403351634,-5.075557376
1569683677403362819,-4.831804888
1569683677403493407,-4.827620854
1569683677403508984,-4.643013846
1569683677403635704,-4.64944729
1569683677403643376,-4.556932462
1569683677404140324,-4.552101428
1569683677404146734,6.848184253
1569683677404706545,7.051911969
1569683677404724124,7.604718439
1569683677405419388,7.58767083
1569683677405427544,4.267550685
1569683677405620904,4.25404403
1569683677405628035,-3.900901982
1569683677405773523,-3.956674988
1569683677405781675,-3.146260158
1569683677405913276,-3.09349344
1569683677405920164,-2.858256134
1569683677406064739,-2.832640937
1569683677406073554,-2.180688484
1569683677406225907,-2.17356275
1569683677406243345,-1.642948597
1569683677406338248,-1.644105968
1569683677406352093,-1.219133341
1569683677406488963,-1.216483567
1569683677406512440,1.062982172
1569683677406639876,1.325185526
1569683677406660603,6.568426787
1569683677406783115,6.580188667
1569683677406795509,6.812305927
1569683677406914412,6.815723494
1569683677406933766,7.499502172
1569683677407071110,7.530921885
1569683677407082298,7.617500884
1569683677407233629,7.606753848
1569683677407243641,7.145875135
1569683677407399615,7.141362462
1569683677407407429,5.701060872
1569683677407550876,5.568433275
1569683677407559167,3.22019622
1569683677407713706,3.018560912
1569683677407719626,0.536658681
1569683677407854819,0.534781494
1569683677407873749,-3.347569558
1569683677407997667,-3.587126742
1569683677408004653,-4.898121318
1569683677408173238,-4.904428569
1569683677408185226,-3.846996615
1569683677408324030,-3.800200272
1569683677408339572,-3.866753393
1569683677408478296,-3.87501593
1569683677408507270,-3.679335125
1569683677408612174,-3.687124804
1569683677408618680,-2.596322666
1569683677408781602,-2.548374808
1569683677408788890,-1.911759141
1569683677408941833,-1.915557761
1569683677408948634,0.392200379
1569683677409080125,0.517394522
1569683677409087093,5.453170421
1569683677409267946,5.507174971
1569683677409275597,7.238895442
1569683677409534923,7.238698804
1569683677409543616,7.413903684
1569683677409669204,7.408760672
1569683677409676125,6.704477605
1569683677409848159,6.678743591
1569683677409855158,6.386008263
1569683677410010540,6.388051936
1569683677410018668,5.316162356
1569683677410135055,5.319429145
1569683677410149190,3.409902812
1569683677410302234,3.223908218
1569683677410307379,1.062986468
1569683677410516260,1.052228559
1569683677410524852,-0.750536923
1569683677410793779,-0.736391694
1569683677410800579,-1.170007635
1569683677411365986,-1.149148396
1569683677411372631,-4.225761493
1569683677411374353,-4.394701475
1569683677411733787,-5.740409019
1569683677411747326,-5.71544214
1569683677411782448,-5.297714273
1569683677411786887,-5.272379082
1569683677411843651,-4.998311857
1569683677411855728,-5.006815615
1569683677411871669,-4.18347961
1569683677411875078,-4.183360636
1569683677411894456,-0.945436018
1569683677412146460,-0.897509332
1569683677412150014,2.24990933
1569683677412463776,2.403525194
1569683677412473305,3.499761276
1569683677412633665,3.511326904
1569683677412641110,2.847289519
1569683677413206718,2.824622362
1569683677413214927,1.169000139
1569683677413385352,1.182151038
1569683677413391897,-1.842974371
1569683677413611358,-2.019936287
1569683677413629132,-4.29885631
1569683677413760943,-4.363351883
1569683677413769471,-4.649015477
1569683677413964759,-4.652892984
1569683677413971098,-3.920193906
1569683677414268141,-3.914359376
1569683677414276487,2.860669387
1569683677414640570,2.895683097
1569683677414649826,3.247640524
1569683677414899269,3.235725898
1569683677414908022,2.381922285
1569683677415053870,2.382027993
1569683677415058928,1.035094052
1569683677415172913,1.051737657
1569683677415178846,-0.667768099
1569683677415381630,-0.650896004
1569683677415387618,-2.420630221
1569683677415523440,-2.416134643
1569683677415529527,-2.307506679
1569683677415636605,-2.249096631
1569683677415644143,-0.985067093
1569683677415758976,-0.95769741
1569683677415762701,0.572687633
1569683677415951057,0.756884775
1569683677415957868,2.68755593
1569683677416076387,2.803976713
1569683677416082404,3.043028688
1569683677416283383,3.053752682
1569683677416289787,2.760217037
1569683677416432713,2.757761693
1569683677416438656,2.872203144
1569683677416556878,2.860756701
1569683677416562781,2.480701064
1569683677416960728,2.480518489
1569683677416980369,1.13101041
1569683677417192089,1.006706745
1569683677417198158,-3.195745681
1569683677417382274,-3.335019921
1569683677417388391,-3.945517337
1569683677417500865,-3.921457539
1569683677417509491,-3.875042478
1569683677417606801,-3.883045621
1569683677417614390,-3.790500751
1569683677417732170,-3.751306705
1569683677417739178,-2.586995998
1569683677417993240,-2.382322997
1569683677418005359,2.858081913
1569683677418173640,3.04289318
1569683677418180773,3.541941342
1569683677418393168,3.522343354
1569683677418400080,2.382879662
1569683677418605170,2.419027966
1569683677418610594,2.250935307
1569683677418880058,2.250969112
1569683677418885786,0.966054303
1569683677419081739,0.963785589
1569683677419085334,-3.097531144
1569683677419480303,-3.154602479
1569683677419486595,-3.115002894
1569683677419728131,-3.111784502
1569683677419733704,3.416527204
1569683677419943878,3.489681927
1569683677419963963,2.397653149
1569683677420162523,2.421705318
1569683677420176095,2.212682634
1569683677420488741,2.212050567
1569683677420493910,0.540203458
1569683677420730042,0.538490138
1569683677420735593,-3.275952101
1569683677421119870,-3.261088132
1569683677421127265,-2.548303695
1569683677421361298,-2.401328958
1569683677421367088,5.937044773
1569683677421632650,5.93708979
1569683677421639115,6.10022057
1569683677421844174,6.067646425
1569683677421850804,5.277498815
1569683677421964243,5.253987828
1569683677421971615,4.672936799
1569683677422177059,4.672936799
1569683677422227224,2.124019887
1569683677422464256,1.928950274
1569683677422475013,-1.381490562
1569683677422618804,-1.484711478
1569683677422626840,-2.273978981
1569683677422878634,-2.231341962
1569683677422886504,-2.172305869
1569683677423177534,-2.189612154
1569683677423185239,1.916856411
1569683677423556071,2.153941686
1569683677423564201,4.498596922
1569683677423670454,4.484506959
1569683677423678489,4.266714396
1569683677424368140,4.267086786
1569683677424378141,0.883506207
1569683677424729502,0.914119337
1569683677424739662,-3.728913571
1569683677424903664,-3.714330919
1569683677424909748,-3.332569417
1569683677425016476,-3.294085887
1569683677425026356,-2.73757293
1569683677425140228,-2.690242327
1569683677425155927,-2.139308815
1569683677425263741,-2.139211968
1569683677425283226,0.590818473
1569683677425491237,0.882066319
1569683677425498447,4.257260171
1569683677425691627,4.257362155
1569683677425697169,4.714546733
1569683677425856184,4.733970751
1569683677425861716,4.342139844
1569683677425957479,4.335006753
1569683677425962727,4.189523311
1569683677426103090,4.174246292
1569683677426110585,3.379013844
1569683677426252320,3.25291008
1569683677426259727,1.524342837
1569683677426433318,1.555012028
1569683677426439539,-0.114884494
1569683677426577671,-0.279018645
1569683677426582954,-3.914675765
1569683677426705659,-4.065669783
1569683677426711966,-4.103077966
1569683677426997874,-4.020630756
1569683677427003087,-3.14054932
1569683677427123047,-3.135033438
1569683677427131013,-2.399036241
1569683677427238183,-2.338972207
1569683677427245367,-1.650395565
1569683677427362817,-1.592720196
1569683677427368339,-0.153923019
1569683677427481101,0.067451437
1569683677427488076,3.191769771
1569683677427591021,3.454806776
1569683677427597313,4.718640479
1569683677427724668,4.718321675
1569683677427728207,5.062229622
1569683677427815225,5.064056458
1569683677427821346,5.151616993
1569683677427925127,5.160755515
1569683677427931893,5.020097649
1569683677428207807,5.006040687
1569683677428214142,4.605582344
1569683677428511100,4.530216898
1569683677428516725,-0.219520083
1569683677428653666,-0.409831346
1569683677428659590,-3.678548005
1569683677428858263,-3.657409144
1569683677428861858,-3.233464146
1569683677429048472,-3.242767977
1569683677429055915,-2.946692089
1569683677429185976,-2.946188064
1569683677429192068,-2.111151996
1569683677429376229,-2.1112363
1569683677429383415,0.987668236
1569683677429560120,1.048052723
1569683677429566138,4.031276759
1569683677429699994,4.031261064
1569683677429705682,4.421827137
1569683677429852721,4.437921534
1569683677429860846,4.302120887
1569683677429985622,4.303065491
1569683677429996351,3.886276935
1569683677430109219,3.873117324
1569683677430115976,2.186115576
1569683677430231791,2.154994293
1569683677430236265,0.397236436
1569683677430358767,0.416125716
1569683677430362705,-1.250178771
1569683677430511287,-1.248113663
1569683677430518535,-3.073301924
1569683677430633444,-3.080744707
1569683677430639293,-2.872228167
1569683677430871725,-2.81085352
